設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,新北市,482,95,4,326,8,0,0,0,0,0,2,0,25,0,95.44,19.71,0.83,67.63,1.66,0,0,0,0,0,0.41,0,5.19,0
國立,臺北市,1351,920,0,269,0,0,0,0,0,2,2,4,76,0,94.23,68.1,0,19.91,0,0,0,0,0,0.15,0.15,0.3,5.63,0
國立,桃園市,1589,734,28,612,24,10,2,1,5,1,1,18,8,14,91.76,46.19,1.76,38.51,1.51,0.63,0.13,0.06,0.31,0.06,0.06,1.13,0.5,0.88
國立,臺中市,1465,694,22,471,25,1,0,0,0,0,7,17,11,0,85.19,47.37,1.5,32.15,1.71,0.07,0,0,0,0,0.48,1.16,0.75,0
國立,臺南市,9999,3425,125,4315,439,33,0,1,0,0,58,112,46,1,85.56,34.25,1.25,43.15,4.39,0.33,0,0.01,0,0,0.58,1.12,0.46,0.01
國立,高雄市,4388,1677,115,1741,140,8,9,0,6,1,37,69,20,1,87.15,38.22,2.62,39.68,3.19,0.18,0.21,0,0.14,0.02,0.84,1.57,0.46,0.02
國立,宜蘭縣,3578,749,73,2086,19,5,0,0,1,2,18,19,7,0,83.26,20.93,2.04,58.3,0.53,0.14,0,0,0.03,0.06,0.5,0.53,0.2,0
國立,新竹縣,1462,570,5,761,15,0,0,0,0,0,1,6,13,0,93.78,38.99,0.34,52.05,1.03,0,0,0,0,0,0.07,0.41,0.89,0
國立,苗栗縣,2885,568,174,1674,79,3,0,0,0,0,14,53,11,0,89.29,19.69,6.03,58.02,2.74,0.1,0,0,0,0,0.49,1.84,0.38,0
國立,彰化縣,8231,2738,102,3583,296,32,35,15,27,3,47,67,15,4,84.61,33.26,1.24,43.53,3.6,0.39,0.43,0.18,0.33,0.04,0.57,0.81,0.18,0.05
國立,南投縣,3324,663,104,1645,135,23,0,1,1,0,35,57,4,0,80.26,19.95,3.13,49.49,4.06,0.69,0,0.03,0.03,0,1.05,1.71,0.12,0
國立,雲林縣,3305,923,174,1613,36,8,0,0,0,9,38,29,6,0,85.81,27.93,5.26,48.8,1.09,0.24,0,0,0,0.27,1.15,0.88,0.18,0
國立,嘉義縣,996,141,39,517,37,1,0,0,0,0,9,23,2,0,77.21,14.16,3.92,51.91,3.71,0.1,0,0,0,0,0.9,2.31,0.2,0
國立,屏東縣,3867,992,231,1406,84,13,6,1,5,7,67,188,4,1,77.71,25.65,5.97,36.36,2.17,0.34,0.16,0.03,0.13,0.18,1.73,4.86,0.1,0.03
國立,臺東縣,1299,302,8,607,3,27,2,0,0,2,14,22,3,0,76.21,23.25,0.62,46.73,0.23,2.08,0.15,0,0,0.15,1.08,1.69,0.23,0
國立,花蓮縣,1931,476,0,879,19,5,0,0,0,0,4,40,6,5,74.26,24.65,0,45.52,0.98,0.26,0,0,0,0,0.21,2.07,0.31,0.26
國立,澎湖縣,757,293,44,155,2,0,0,0,0,2,14,9,0,1,68.69,38.71,5.81,20.48,0.26,0,0,0,0,0.26,1.85,1.19,0,0.13
國立,基隆市,1700,314,54,1048,21,3,2,2,1,2,2,8,0,24,87.12,18.47,3.18,61.65,1.24,0.18,0.12,0.12,0.06,0.12,0.12,0.47,0,1.41
國立,新竹市,2706,1647,12,732,28,1,3,0,1,3,3,12,102,1,94.05,60.86,0.44,27.05,1.03,0.04,0.11,0,0.04,0.11,0.11,0.44,3.77,0.04
國立,嘉義市,3657,1424,115,1487,41,5,5,0,2,12,54,51,6,21,88.13,38.94,3.14,40.66,1.12,0.14,0.14,0,0.05,0.33,1.48,1.39,0.16,0.57
國立,金門縣,558,163,60,224,4,0,1,0,0,0,1,1,2,0,81.72,29.21,10.75,40.14,0.72,0,0.18,0,0,0,0.18,0.18,0.36,0
國立,連江縣,115,45,0,59,0,0,0,0,0,0,1,0,0,0,91.3,39.13,0,51.3,0,0,0,0,0,0,0.87,0,0,0
縣市立,新北市,13204,3323,98,8028,354,5,0,0,0,1,55,58,60,10,90.82,25.17,0.74,60.8,2.68,0.04,0,0,0,0.01,0.42,0.44,0.45,0.08
縣市立,臺北市,19229,8808,242,8758,248,17,6,0,0,1,20,60,284,2,95.93,45.81,1.26,45.55,1.29,0.09,0.03,0,0,0.01,0.1,0.31,1.48,0.01
縣市立,桃園市,8025,2960,27,4465,29,0,2,1,1,3,39,65,62,3,95.41,36.88,0.34,55.64,0.36,0,0.02,0.01,0.01,0.04,0.49,0.81,0.77,0.04
縣市立,臺中市,12283,5454,258,4825,236,17,8,4,13,15,71,85,83,6,90.17,44.4,2.1,39.28,1.92,0.14,0.07,0.03,0.11,0.12,0.58,0.69,0.68,0.05
縣市立,臺南市,584,212,2,296,19,4,0,0,0,0,4,9,2,0,93.84,36.3,0.34,50.68,3.25,0.68,0,0,0,0,0.68,1.54,0.34,0
縣市立,高雄市,10899,4742,158,4475,121,33,0,1,1,15,101,150,81,6,90.69,43.51,1.45,41.06,1.11,0.3,0,0.01,0.01,0.14,0.93,1.38,0.74,0.06
縣市立,宜蘭縣,89,12,0,31,1,0,0,0,2,0,0,0,4,1,57.3,13.48,0,34.83,1.12,0,0,0,2.25,0,0,0,4.49,1.12
縣市立,新竹縣,407,133,0,233,0,0,0,0,0,0,0,1,2,0,90.66,32.68,0,57.25,0,0,0,0,0,0,0,0.25,0.49,0
縣市立,苗栗縣,624,90,19,422,12,0,0,0,0,0,1,9,0,0,88.62,14.42,3.04,67.63,1.92,0,0,0,0,0,0.16,1.44,0,0
縣市立,彰化縣,934,205,2,624,6,0,0,0,0,0,7,22,1,0,92.83,21.95,0.21,66.81,0.64,0,0,0,0,0,0.75,2.36,0.11,0
縣市立,南投縣,234,41,0,147,3,0,0,0,0,0,9,6,0,0,88.03,17.52,0,62.82,1.28,0,0,0,0,0,3.85,2.56,0,0
縣市立,雲林縣,405,78,10,269,0,0,0,0,0,1,0,13,0,0,91.6,19.26,2.47,66.42,0,0,0,0,0,0.25,0,3.21,0,0
縣市立,嘉義縣,231,77,0,127,0,0,0,0,0,0,6,10,0,0,95.24,33.33,0,54.98,0,0,0,0,0,0,2.6,4.33,0,0
縣市立,屏東縣,640,127,2,387,2,0,0,1,0,0,18,17,1,0,86.72,19.84,0.31,60.47,0.31,0,0,0.16,0,0,2.81,2.66,0.16,0
縣市立,臺東縣,12,4,0,6,0,0,0,0,0,0,0,0,0,0,83.33,33.33,0,50,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,46,10,1,20,2,0,0,0,0,0,0,0,0,0,71.74,21.74,2.17,43.48,4.35,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,376,68,5,270,5,0,0,0,0,0,6,3,2,0,95.48,18.09,1.33,71.81,1.33,0,0,0,0,0,1.6,0.8,0.53,0
縣市立,新竹市,848,281,0,517,1,0,0,0,0,2,1,4,8,0,95.99,33.14,0,60.97,0.12,0,0,0,0,0.24,0.12,0.47,0.94,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,14836,1037,227,8738,953,11,7,37,111,3,17,70,289,9,77.57,6.99,1.53,58.9,6.42,0.07,0.05,0.25,0.75,0.02,0.11,0.47,1.95,0.06
私立,臺北市,13291,1349,178,8061,686,19,96,16,140,3,5,68,327,10,82.45,10.15,1.34,60.65,5.16,0.14,0.72,0.12,1.05,0.02,0.04,0.51,2.46,0.08
私立,桃園市,15570,1897,230,8338,859,86,34,92,32,5,17,156,54,28,75.97,12.18,1.48,53.55,5.52,0.55,0.22,0.59,0.21,0.03,0.11,1,0.35,0.18
私立,臺中市,19339,2399,473,9843,2265,49,47,14,75,11,27,145,268,9,80.8,12.4,2.45,50.9,11.71,0.25,0.24,0.07,0.39,0.06,0.14,0.75,1.39,0.05
私立,臺南市,9173,1432,8,4509,864,15,6,8,9,14,66,94,39,5,77.06,15.61,0.09,49.16,9.42,0.16,0.07,0.09,0.1,0.15,0.72,1.02,0.43,0.05
私立,高雄市,12908,1015,252,5196,1333,37,6,105,168,0,27,178,81,2,65.08,7.86,1.95,40.25,10.33,0.29,0.05,0.81,1.3,0,0.21,1.38,0.63,0.02
私立,宜蘭縣,515,95,0,350,3,0,0,0,0,0,1,4,16,0,91.07,18.45,0,67.96,0.58,0,0,0,0,0,0.19,0.78,3.11,0
私立,新竹縣,2749,343,20,1284,378,1,2,1,30,2,3,26,8,3,76.43,12.48,0.73,46.71,13.75,0.04,0.07,0.04,1.09,0.07,0.11,0.95,0.29,0.11
私立,苗栗縣,2049,119,63,861,150,0,1,0,7,0,6,10,1,28,60.81,5.81,3.07,42.02,7.32,0,0.05,0,0.34,0,0.29,0.49,0.05,1.37
私立,彰化縣,4214,320,40,2019,391,1,3,7,19,1,9,31,11,2,67.73,7.59,0.95,47.91,9.28,0.02,0.07,0.17,0.45,0.02,0.21,0.74,0.26,0.05
私立,南投縣,1258,104,10,567,124,16,26,5,1,3,3,5,46,0,72.34,8.27,0.79,45.07,9.86,1.27,2.07,0.4,0.08,0.24,0.24,0.4,3.66,0
私立,雲林縣,3185,443,67,1427,111,1,0,1,0,5,25,38,26,10,67.63,13.91,2.1,44.8,3.49,0.03,0,0.03,0,0.16,0.78,1.19,0.82,0.31
私立,嘉義縣,2156,233,33,900,105,1,0,1,3,0,8,29,6,5,61.41,10.81,1.53,41.74,4.87,0.05,0,0.05,0.14,0,0.37,1.35,0.28,0.23
私立,屏東縣,2265,185,56,955,78,2,2,1,1,1,8,54,8,1,59.69,8.17,2.47,42.16,3.44,0.09,0.09,0.04,0.04,0.04,0.35,2.38,0.35,0.04
私立,臺東縣,417,33,8,196,16,7,2,1,1,0,1,1,5,0,64.99,7.91,1.92,47,3.84,1.68,0.48,0.24,0.24,0,0.24,0.24,1.2,0
私立,花蓮縣,1290,150,1,693,7,3,0,37,2,0,1,26,4,0,71.63,11.63,0.08,53.72,0.54,0.23,0,2.87,0.16,0,0.08,2.02,0.31,0
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1796,360,11,1050,10,1,0,6,4,2,5,18,2,1,81.85,20.04,0.61,58.46,0.56,0.06,0,0.33,0.22,0.11,0.28,1,0.11,0.06
私立,新竹市,2808,241,12,1757,223,1,0,0,0,0,4,15,9,0,80.56,8.58,0.43,62.57,7.94,0.04,0,0,0,0,0.14,0.53,0.32,0
私立,嘉義市,2754,280,38,1505,48,1,0,0,0,1,8,36,6,0,69.83,10.17,1.38,54.65,1.74,0.04,0,0,0,0.04,0.29,1.31,0.22,0
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
