設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,新北市,491,99,1,320,2,0,0,0,0,0,0,2,48,0,96.13,20.16,0.2,65.17,0.41,0,0,0,0,0,0,0.41,9.78,0
國立,臺北市,1370,917,1,298,0,0,0,0,0,1,0,15,62,0,94.45,66.93,0.07,21.75,0,0,0,0,0,0.07,0,1.09,4.53,0
國立,桃園市,1565,745,30,602,25,9,1,0,1,0,1,6,2,0,90.86,47.6,1.92,38.47,1.6,0.58,0.06,0,0.06,0,0.06,0.38,0.13,0
國立,臺中市,1477,792,17,412,38,1,1,0,0,6,0,6,6,0,86.59,53.62,1.15,27.89,2.57,0.07,0.07,0,0,0.41,0,0.41,0.41,0
國立,臺南市,9922,3698,100,4134,408,26,2,0,13,2,42,120,39,1,86.52,37.27,1.01,41.66,4.11,0.26,0.02,0,0.13,0.02,0.42,1.21,0.39,0.01
國立,高雄市,4306,1670,131,1681,125,5,4,3,5,0,6,77,14,0,86.41,38.78,3.04,39.04,2.9,0.12,0.09,0.07,0.12,0,0.14,1.79,0.33,0
國立,宜蘭縣,3533,700,47,2064,17,3,4,1,0,4,5,29,8,3,81.66,19.81,1.33,58.42,0.48,0.08,0.11,0.03,0,0.11,0.14,0.82,0.23,0.08
國立,新竹縣,1489,577,3,772,6,0,0,0,0,2,1,7,16,0,92.95,38.75,0.2,51.85,0.4,0,0,0,0,0.13,0.07,0.47,1.07,0
國立,苗栗縣,2926,611,150,1725,36,12,2,1,2,1,2,42,5,0,88.48,20.88,5.13,58.95,1.23,0.41,0.07,0.03,0.07,0.03,0.07,1.44,0.17,0
國立,彰化縣,8242,2971,108,3558,333,14,6,0,10,4,37,69,14,3,86.47,36.05,1.31,43.17,4.04,0.17,0.07,0,0.12,0.05,0.45,0.84,0.17,0.04
國立,南投縣,3218,636,126,1620,144,3,7,0,11,3,24,92,5,0,83,19.76,3.92,50.34,4.47,0.09,0.22,0,0.34,0.09,0.75,2.86,0.16,0
國立,雲林縣,3359,846,204,1603,37,10,0,0,2,1,17,80,5,0,83.51,25.19,6.07,47.72,1.1,0.3,0,0,0.06,0.03,0.51,2.38,0.15,0
國立,嘉義縣,940,132,51,463,36,3,0,1,2,1,6,26,1,2,77.02,14.04,5.43,49.26,3.83,0.32,0,0.11,0.21,0.11,0.64,2.77,0.11,0.21
國立,屏東縣,3683,873,107,1604,32,8,0,5,2,3,35,177,4,0,77.38,23.7,2.91,43.55,0.87,0.22,0,0.14,0.05,0.08,0.95,4.81,0.11,0
國立,臺東縣,1249,266,26,581,8,22,7,0,0,0,3,21,1,0,74.86,21.3,2.08,46.52,0.64,1.76,0.56,0,0,0,0.24,1.68,0.08,0
國立,花蓮縣,1782,438,44,857,7,10,3,0,1,0,1,11,2,0,77.1,24.58,2.47,48.09,0.39,0.56,0.17,0,0.06,0,0.06,0.62,0.11,0
國立,澎湖縣,799,294,14,219,7,4,0,0,0,0,6,9,0,0,69.21,36.8,1.75,27.41,0.88,0.5,0,0,0,0,0.75,1.13,0,0
國立,基隆市,1563,272,70,884,52,2,0,1,4,0,0,27,7,0,84.39,17.4,4.48,56.56,3.33,0.13,0,0.06,0.26,0,0,1.73,0.45,0
國立,新竹市,2730,1721,21,708,17,0,3,0,0,0,0,5,88,0,93.88,63.04,0.77,25.93,0.62,0,0.11,0,0,0,0,0.18,3.22,0
國立,嘉義市,3683,1469,84,1499,36,4,0,0,0,10,21,54,15,0,86.67,39.89,2.28,40.7,0.98,0.11,0,0,0,0.27,0.57,1.47,0.41,0
國立,金門縣,565,193,53,231,5,1,0,0,0,0,1,3,1,0,86.37,34.16,9.38,40.88,0.88,0.18,0,0,0,0,0.18,0.53,0.18,0
國立,連江縣,76,20,0,53,0,0,0,0,0,0,0,0,0,0,96.05,26.32,0,69.74,0,0,0,0,0,0,0,0,0,0
縣市立,新北市,12927,2997,135,7916,285,2,15,24,12,3,18,79,56,9,89.36,23.18,1.04,61.24,2.2,0.02,0.12,0.19,0.09,0.02,0.14,0.61,0.43,0.07
縣市立,臺北市,18691,8358,189,8741,77,2,0,2,1,2,14,48,277,5,94.78,44.72,1.01,46.77,0.41,0.01,0,0.01,0.01,0.01,0.07,0.26,1.48,0.03
縣市立,桃園市,7983,2923,9,4384,35,3,1,1,0,4,11,64,56,2,93.86,36.62,0.11,54.92,0.44,0.04,0.01,0.01,0,0.05,0.14,0.8,0.7,0.03
縣市立,臺中市,12335,5486,304,4752,399,6,7,1,2,10,28,102,87,18,90.81,44.48,2.46,38.52,3.23,0.05,0.06,0.01,0.02,0.08,0.23,0.83,0.71,0.15
縣市立,臺南市,595,216,1,302,9,0,0,1,1,1,3,8,3,0,91.6,36.3,0.17,50.76,1.51,0,0,0.17,0.17,0.17,0.5,1.34,0.5,0
縣市立,高雄市,10710,4445,182,4495,141,24,0,1,5,23,32,174,39,6,89.33,41.5,1.7,41.97,1.32,0.22,0,0.01,0.05,0.21,0.3,1.62,0.36,0.06
縣市立,宜蘭縣,70,15,0,31,0,0,0,0,0,0,0,0,1,0,67.14,21.43,0,44.29,0,0,0,0,0,0,0,0,1.43,0
縣市立,新竹縣,451,151,2,278,0,0,0,0,0,0,1,0,1,0,96.01,33.48,0.44,61.64,0,0,0,0,0,0,0.22,0,0.22,0
縣市立,苗栗縣,631,101,24,420,18,1,0,0,0,0,0,10,2,0,91.28,16.01,3.8,66.56,2.85,0.16,0,0,0,0,0,1.58,0.32,0
縣市立,彰化縣,940,196,10,610,6,0,0,0,0,0,0,23,5,0,90.43,20.85,1.06,64.89,0.64,0,0,0,0,0,0,2.45,0.53,0
縣市立,南投縣,220,34,0,142,11,0,0,0,0,0,7,1,0,0,88.64,15.45,0,64.55,5,0,0,0,0,0,3.18,0.45,0,0
縣市立,雲林縣,388,77,5,255,4,0,0,0,1,0,2,13,1,0,92.27,19.85,1.29,65.72,1.03,0,0,0,0.26,0,0.52,3.35,0.26,0
縣市立,嘉義縣,234,56,5,131,3,0,0,0,0,0,2,23,0,0,94.02,23.93,2.14,55.98,1.28,0,0,0,0,0,0.85,9.83,0,0
縣市立,屏東縣,588,126,4,308,27,0,0,0,1,0,4,19,3,0,83.67,21.43,0.68,52.38,4.59,0,0,0,0.17,0,0.68,3.23,0.51,0
縣市立,臺東縣,13,0,0,7,0,0,0,0,0,0,0,0,0,0,53.85,0,0,53.85,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,35,16,0,10,0,0,0,0,0,0,0,0,0,0,74.29,45.71,0,28.57,0,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,417,103,3,247,4,0,0,0,0,1,0,11,0,0,88.49,24.7,0.72,59.23,0.96,0,0,0,0,0.24,0,2.64,0,0
縣市立,新竹市,886,336,0,494,1,0,0,0,0,0,0,3,9,2,95.37,37.92,0,55.76,0.11,0,0,0,0,0,0,0.34,1.02,0.23
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,13198,957,154,7763,921,32,20,44,75,4,15,75,305,9,78.6,7.25,1.17,58.82,6.98,0.24,0.15,0.33,0.57,0.03,0.11,0.57,2.31,0.07
私立,臺北市,12198,1403,179,6969,618,9,17,46,278,2,1,43,264,1,80.59,11.5,1.47,57.13,5.07,0.07,0.14,0.38,2.28,0.02,0.01,0.35,2.16,0.01
私立,桃園市,15069,1974,416,7817,1009,57,17,19,33,7,5,151,50,1,76.69,13.1,2.76,51.87,6.7,0.38,0.11,0.13,0.22,0.05,0.03,1,0.33,0.01
私立,臺中市,18304,2488,425,9288,1645,54,79,19,56,9,21,118,194,20,78.76,13.59,2.32,50.74,8.99,0.3,0.43,0.1,0.31,0.05,0.11,0.64,1.06,0.11
私立,臺南市,8173,1258,22,3951,776,18,5,17,34,20,19,129,38,16,77.12,15.39,0.27,48.34,9.49,0.22,0.06,0.21,0.42,0.24,0.23,1.58,0.46,0.2
私立,高雄市,11831,857,289,4856,1088,12,3,61,98,0,8,161,99,12,63.76,7.24,2.44,41.04,9.2,0.1,0.03,0.52,0.83,0,0.07,1.36,0.84,0.1
私立,宜蘭縣,462,96,0,319,4,0,0,0,0,0,1,3,15,1,95.02,20.78,0,69.05,0.87,0,0,0,0,0,0.22,0.65,3.25,0.22
私立,新竹縣,2607,292,9,1311,347,0,1,7,7,1,0,35,10,0,77.48,11.2,0.35,50.29,13.31,0,0.04,0.27,0.27,0.04,0,1.34,0.38,0
私立,苗栗縣,1919,120,53,894,141,0,1,3,6,0,0,11,10,0,64.56,6.25,2.76,46.59,7.35,0,0.05,0.16,0.31,0,0,0.57,0.52,0
私立,彰化縣,3748,241,42,1788,376,14,1,0,2,2,2,34,8,0,66.97,6.43,1.12,47.71,10.03,0.37,0.03,0,0.05,0.05,0.05,0.91,0.21,0
私立,南投縣,1079,87,16,388,110,13,22,2,15,0,0,3,30,0,63.58,8.06,1.48,35.96,10.19,1.2,2.04,0.19,1.39,0,0,0.28,2.78,0
私立,雲林縣,2860,423,48,1286,78,0,0,0,0,0,8,24,13,0,65.73,14.79,1.68,44.97,2.73,0,0,0,0,0,0.28,0.84,0.45,0
私立,嘉義縣,2022,199,31,806,106,3,0,5,3,0,1,23,9,7,59,9.84,1.53,39.86,5.24,0.15,0,0.25,0.15,0,0.05,1.14,0.45,0.35
私立,屏東縣,1941,151,44,848,40,0,0,1,5,2,3,32,6,3,58.48,7.78,2.27,43.69,2.06,0,0,0.05,0.26,0.1,0.15,1.65,0.31,0.15
私立,臺東縣,407,36,6,207,2,7,5,0,3,0,0,1,4,0,66.58,8.85,1.47,50.86,0.49,1.72,1.23,0,0.74,0,0,0.25,0.98,0
私立,花蓮縣,1212,136,5,661,11,0,1,1,0,1,3,18,12,1,70.13,11.22,0.41,54.54,0.91,0,0.08,0.08,0,0.08,0.25,1.49,0.99,0.08
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1503,295,8,841,62,8,0,10,5,1,1,25,1,0,83.63,19.63,0.53,55.95,4.13,0.53,0,0.67,0.33,0.07,0.07,1.66,0.07,0
私立,新竹市,2773,275,7,1726,208,0,0,0,0,0,0,8,15,0,80.74,9.92,0.25,62.24,7.5,0,0,0,0,0,0,0.29,0.54,0
私立,嘉義市,2634,246,71,1454,35,0,4,0,0,2,3,54,6,0,71.18,9.34,2.7,55.2,1.33,0,0.15,0,0,0.08,0.11,2.05,0.23,0
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
